Areaname,ST,,LND110210D
"Surry, NC",37,171,532.17
"Swain, NC",37,173,528
"Transylvania, NC",37,175,378.53
"Tyrrell, NC",37,177,389.04
"Union, NC",37,179,631.52
"Vance, NC",37,181,253.52
"Wake, NC",37,183,835.22
"Warren, NC",37,185,428.46
"Washington, NC",37,187,348.14
"Watauga, NC",37,189,312.56
"Wayne, NC",37,191,553.09
"Wilkes, NC",37,193,754.28
"Wilson, NC",37,195,368.17
"Yadkin, NC",37,197,334.83
"Yancey, NC",37,199,312.6
NORTH DAKOTA,38,0,69000.8
"Adams, ND",38,1,987.62
"Barnes, ND",38,3,1491.55
"Benson, ND",38,5,1388.71
"Billings, ND",38,7,1148.85
"Bottineau, ND",38,9,1668.42
"Bowman, ND",38,11,1161.81
"Burke, ND",38,13,1103.57
"Burleigh, ND",38,15,1632.65
"Cass, ND",38,17,1764.94
"Cavalier, ND",38,19,1488.75
"Dickey, ND",38,21,1131.47
"Divide, ND",38,23,1260.79
"Dunn, ND",38,25,2008.46
"Eddy, ND",38,27,630.17
"Emmons, ND",38,29,1510.44
"Foster, ND",38,31,635.45
"Golden Valley, ND",38,33,1000.79
"Grand Forks, ND",38,35,1436.38
"Grant, ND",38,37,1659.14
"Griggs, ND",38,39,708.82
"Hettinger, ND",38,41,1132.22
"Kidder, ND",38,43,1351.19
"LaMoure, ND",38,45,1145.94
"Logan, ND",38,47,992.82
"McHenry, ND",38,49,1873.95
"McIntosh, ND",38,51,974.73
"McKenzie, ND",38,53,2760.32
"McLean, ND",38,55,2110.88
"Mercer, ND",38,57,1042.96
"Morton, ND",38,59,1926.27
"Mountrail, ND",38,61,1825.3
"Nelson, ND",38,63,981.78
"Oliver, ND",38,65,722.51
"Pembina, ND",38,67,1118.69
"Pierce, ND",38,69,1018.6
"Ramsey, ND",38,71,1186.85
"Ransom, ND",38,73,862.36
"Renville, ND",38,75,877.05
"Richland, ND",38,77,1435.78
"Rolette, ND",38,79,903.08
"Sargent, ND",38,81,858.51
"Sheridan, ND",38,83,972.38
"Sioux, ND",38,85,1094.09
"Slope, ND",38,87,1214.92
"Stark, ND",38,89,1334.74
"Steele, ND",38,91,712.22
"Stutsman, ND",38,93,2221.72
"Towner, ND",38,95,1024.56
"Traill, ND",38,97,861.95
"Walsh, ND",38,99,1281.93
"Ward, ND",38,101,2013.28
"Wells, ND",38,103,1271.05
"Williams, ND",38,105,2077.4
OHIO,39,0,40860.69
"Adams, OH",39,1,583.87
"Allen, OH",39,3,402.5
"Ashland, OH",39,5,422.95
"Ashtabula, OH",39,7,701.93
"Athens, OH",39,9,503.6
"Auglaize, OH",39,11,401.39
"Belmont, OH",39,13,532.13
"Brown, OH",39,15,490.02
"Butler, OH",39,17,467.06
"Carroll, OH",39,19,394.61
"Champaign, OH",39,21,428.67
"Clark, OH",39,23,397.47
"Clermont, OH",39,25,452.1
"Clinton, OH",39,27,408.68
"Columbiana, OH",39,29,531.89
"Coshocton, OH",39,31,563.91
"Crawford, OH",39,33,401.79
"Cuyahoga, OH",39,35,457.19
"Darke, OH",39,37,598.1
"Defiance, OH",39,39,411.46
"Delaware, OH",39,41,443.1
"Erie, OH",39,43,251.56
"Fairfield, OH",39,45,504.41
"Fayette, OH",39,47,406.36
"Franklin, OH",39,49,532.19
"Fulton, OH",39,51,405.44
"Gallia, OH",39,53,466.53
"Geauga, OH",39,55,400.16
"Greene, OH",39,57,413.73
"Guernsey, OH",39,59,522.25
"Hamilton, OH",39,61,405.91
"Hancock, OH",39,63,531.36
"Hardin, OH",39,65,470.41
"Harrison, OH",39,67,402.34
"Henry, OH",39,69,416.01
"Highland, OH",39,71,553.08
"Hocking, OH",39,73,421.32
"Holmes, OH",39,75,422.53
"Huron, OH",39,77,491.5
"Jackson, OH",39,79,420.3
"Jefferson, OH",39,81,408.33
"Knox, OH",39,83,525.49
"Lake, OH",39,85,227.49
"Lawrence, OH",39,87,453.37
"Licking, OH",39,89,682.5
"Logan, OH",39,91,458.43
"Lorain, OH",39,93,491.1
"Lucas, OH",39,95,340.86
"Madison, OH",39,97,465.88
"Mahoning, OH",39,99,411.62
"Marion, OH",39,101,403.76
"Medina, OH",39,103,421.36
"Meigs, OH",39,105,430.1
"Mercer, OH",39,107,462.45
"Miami, OH",39,109,406.58
"Monroe, OH",39,111,455.72
"Montgomery, OH",39,113,461.55
"Morgan, OH",39,115,416.42
"Morrow, OH",39,117,406.08
"Muskingum, OH",39,119,664.58
"Noble, OH",39,121,398.01
"Ottawa, OH",39,123,254.92
"Paulding, OH",39,125,416.44
"Perry, OH",39,127,407.97
"Pickaway, OH",39,129,501.32
"Pike, OH",39,131,440.28
"Portage, OH",39,133,487.38
"Preble, OH",39,135,424.12
"Putnam, OH",39,137,482.52
"Richland, OH",39,139,495.27
"Ross, OH",39,141,689.19
"Sandusky, OH",39,143,408.45
"Scioto, OH",39,145,610.21
"Seneca, OH",39,147,551.02
"Shelby, OH",39,149,407.68
"Stark, OH",39,151,575.27
"Summit, OH",39,153,412.75
"Trumbull, OH",39,155,618.3
"Tuscarawas, OH",39,157,567.64
"Union, OH",39,159,431.73
"Van Wert, OH",39,161,409.16
"Vinton, OH",39,163,412.36
"Warren, OH",39,165,401.31
"Washington, OH",39,167,631.97
"Wayne, OH",39,169,554.93
"Williams, OH",39,171,420.97
"Wood, OH",39,173,617.21
"Wyandot, OH",39,175,406.87
OKLAHOMA,40,0,68594.92
"Adair, OK",40,1,573.48
"Alfalfa, OK",40,3,866.46
"Atoka, OK",40,5,975.52
"Beaver, OK",40,7,1814.67
"Beckham, OK",40,9,901.81
"Blaine, OK",40,11,928.42
"Bryan, OK",40,13,904.47
"Caddo, OK",40,15,1278.29
"Canadian, OK",40,17,896.63
"Carter, OK",40,19,822.18
"Cherokee, OK",40,21,749.41
"Choctaw, OK",40,23,770.36
"Cimarron, OK",40,25,1834.74
"Cleveland, OK",40,27,538.77
"Coal, OK",40,29,516.68
"Comanche, OK",40,31,1069.29
"Cotton, OK",40,33,632.65
"Craig, OK",40,35,761.35
"Creek, OK",40,37,950.14
"Custer, OK",40,39,988.82
"Delaware, OK",40,41,738.18
"Dewey, OK",40,43,999.48
"Ellis, OK",40,45,1231.52
"Garfield, OK",40,47,1058.47
"Garvin, OK",40,49,802.12
"Grady, OK",40,51,1100.5
"Grant, OK",40,53,1000.87
"Greer, OK",40,55,639.32
"Harmon, OK",40,57,537.19
"Harper, OK",40,59,1039.02
"Haskell, OK",40,61,576.52
"Hughes, OK",40,63,804.65
"Jackson, OK",40,65,802.65
"Jefferson, OK",40,67,758.83
"Johnston, OK",40,69,642.94
"Kay, OK",40,71,919.73
"Kingfisher, OK",40,73,898.16
"Kiowa, OK",40,75,1015.23
"Latimer, OK",40,77,722.08
"Le Flore, OK",40,79,1589.21
"Lincoln, OK",40,81,952.31
"Logan, OK",40,83,743.83
"Love, OK",40,85,514
"McClain, OK",40,87,570.7
"McCurtain, OK",40,89,1850.01
"McIntosh, OK",40,91,618.5
"Major, OK",40,93,954.99
"Marshall, OK",40,95,371.08
"Mayes, OK",40,97,655.39
"Murray, OK",40,99,416.46
"Muskogee, OK",40,101,810.45
"Noble, OK",40,103,731.9
"Nowata, OK",40,105,565.78
"Okfuskee, OK",40,107,618.57
"Oklahoma, OK",40,109,708.82
"Okmulgee, OK",40,111,697.35
"Osage, OK",40,113,2246.36
"Ottawa, OK",40,115,470.82
"Pawnee, OK",40,117,567.96
"Payne, OK",40,119,684.7
"Pittsburg, OK",40,121,1305.46
"Pontotoc, OK",40,123,720.44
"Pottawatomie, OK",40,125,787.67
"Pushmataha, OK",40,127,1395.84
"Roger Mills, OK",40,129,1141.14
"Rogers, OK",40,131,675.63
"Seminole, OK",40,133,632.84
"Sequoyah, OK",40,135,673.27
"Stephens, OK",40,137,870.24
"Texas, OK",40,139,2041.26
"Tillman, OK",40,141,871.13
"Tulsa, OK",40,143,570.25
"Wagoner, OK",40,145,561.56
"Washington, OK",40,147,415.45
"Washita, OK",40,149,1003.17
"Woods, OK",40,151,1286.45
"Woodward, OK",40,153,1242.4
OREGON,41,0,95988.01
"Baker, OR",41,1,3068.36
"Benton, OR",41,3,675.94
"Clackamas, OR",41,5,1870.32
"Clatsop, OR",41,7,829.05
"Columbia, OR",41,9,657.36
"Coos, OR",41,11,1596.17
"Crook, OR",41,13,2979.09
"Curry, OR",41,15,1627.46
"Deschutes, OR",41,17,3018.19
"Douglas, OR",41,19,5036.08
"Gilliam, OR",41,21,1204.81
"Grant, OR",41,23,4528.54
"Harney, OR",41,25,10133.17
"Hood River, OR",41,27,521.95
"Jackson, OR",41,29,2783.55
"Jefferson, OR",41,31,1780.79
"Josephine, OR",41,33,1639.67
"Klamath, OR",41,35,5941.05
"Lake, OR",41,37,8138.98
"Lane, OR",41,39,4553.12
"Lincoln, OR",41,41,979.77
"Linn, OR",41,43,2290.13
"Malheur, OR",41,45,9887.53
"Marion, OR",41,47,1182.33
"Morrow, OR",41,49,2031.61
"Multnomah, OR",41,51,431.3
"Polk, OR",41,53,740.79
"Sherman, OR",41,55,823.69
"Tillamook, OR",41,57,1102.58
"Umatilla, OR",41,59,3215.51
"Union, OR",41,61,2036.61
"Wallowa, OR",41,63,3146.19
"Wasco, OR",41,65,2381.52
"Washington, OR",41,67,724.23
"Wheeler, OR",41,69,1714.75
"Yamhill, OR",41,71,715.86
PENNSYLVANIA,42,0,44742.7
"Adams, PA",42,1,518.67
"Allegheny, PA",42,3,730.08
"Armstrong, PA",42,5,653.2
"Beaver, PA",42,7,434.71
"Bedford, PA",42,9,1012.3
"Berks, PA",42,11,856.51
"Blair, PA",42,13,525.8
"Bradford, PA",42,15,1147.4
"Bucks, PA",42,17,604.31
"Butler, PA",42,19,788.6
"Cambria, PA",42,21,688.35
"Cameron, PA",42,23,396.23
"Carbon, PA",42,25,381.46
"Centre, PA",42,27,1109.92
"Chester, PA",42,29,750.51
"Clarion, PA",42,31,600.83
"Clearfield, PA",42,33,1144.72
"Clinton, PA",42,35,887.98
"Columbia, PA",42,37,483.11
"Crawford, PA",42,39,1012.3
"Cumberland, PA",42,41,545.46
"Dauphin, PA",42,43,525.05
"Delaware, PA",42,45,183.84
"Elk, PA",42,47,827.36
"Erie, PA",42,49,799.15
"Fayette, PA",42,51,790.34
"Forest, PA",42,53,427.19
"Franklin, PA",42,55,772.22
"Fulton, PA",42,57,437.55
"Greene, PA",42,59,575.95
"Huntingdon, PA",42,61,874.64
"Indiana, PA",42,63,827.03
"Jefferson, PA",42,65,652.43
"Juniata, PA",42,67,391.35
"Lackawanna, PA",42,69,459.08
"Lancaster, PA",42,71,943.81
"Lawrence, PA",42,73,358.18
"Lebanon, PA",42,75,361.83
"Lehigh, PA",42,77,345.17
"Luzerne, PA",42,79,890.33
"Lycoming, PA",42,81,1228.59
"McKean, PA",42,83,979.2
"Mercer, PA",42,85,672.58
"Mifflin, PA",42,87,411.03
"Monroe, PA",42,89,608.29
"Montgomery, PA",42,91,483.04
"Montour, PA",42,93,130.24
"Northampton, PA",42,95,369.67
"Northumberland, PA",42,97,458.37
"Perry, PA",42,99,551.45
"Philadelphia, PA",42,101,134.1
"Pike, PA",42,103,544.96
"Potter, PA",42,105,1081.32
"Schuylkill, PA",42,107,778.63
"Snyder, PA",42,109,328.71
"Somerset, PA",42,111,1074.37
"Sullivan, PA",42,113,449.94
"Susquehanna, PA",42,115,823.44
"Tioga, PA",42,117,1133.79
"Union, PA",42,119,315.98
"Venango, PA",42,121,674.28
"Warren, PA",42,123,884.14
"Washington, PA",42,125,856.99
"Wayne, PA",42,127,725.6
"Westmoreland, PA",42,129,1027.55
"Wyoming, PA",42,131,397.32
"York, PA",42,133,904.18
RHODE ISLAND,44,0,1033.81
"Bristol, RI",44,1,24.16
"Kent, RI",44,3,168.53
"Newport, RI",44,5,102.39
"Providence, RI",44,7,409.5
"Washington, RI",44,9,329.24
SOUTH CAROLINA,45,0,30060.7
"Abbeville, SC",45,1,490.48
"Aiken, SC",45,3,1071.03
"Allendale, SC",45,5,408.09
"Anderson, SC",45,7,715.43
"Bamberg, SC",45,9,393.37
"Barnwell, SC",45,11,548.39
"Beaufort, SC",45,13,576.28
"Berkeley, SC",45,15,1098.86
"Calhoun, SC",45,17,381.15
"Charleston, SC",45,19,916.09
"Cherokee, SC",45,21,392.66
"Chester, SC",45,23,580.66
"Chesterfield, SC",45,25,799.08
"Clarendon, SC",45,27,606.94
"Colleton, SC",45,29,1056.49
"Darlington, SC",45,31,561.15
"Dillon, SC",45,33,404.87
"Dorchester, SC",45,35,573.23
"Edgefield, SC",45,37,500.41
"Fairfield, SC",45,39,686.28
"Florence, SC",45,41,799.96
"Georgetown, SC",45,43,813.55
"Greenville, SC",45,45,785.12
"Greenwood, SC",45,47,454.73
"Hampton, SC",45,49,559.9
"Horry, SC",45,51,1133.9
"Jasper, SC",45,53,655.32
"Kershaw, SC",45,55,726.56
"Lancaster, SC",45,57,549.16
"Laurens, SC",45,59,713.8
"Lee, SC",45,61,410.18
"Lexington, SC",45,63,698.91
"McCormick, SC",45,65,359.13
"Marion, SC",45,67,489.23
"Marlboro, SC",45,69,479.67
"Newberry, SC",45,71,630.04
"Oconee, SC",45,73,626.33
"Orangeburg, SC",45,75,1106.1
"Pickens, SC",45,77,496.41
"Richland, SC",45,79,757.07
"Saluda, SC",45,81,452.78
"Spartanburg, SC",45,83,807.93
"Sumter, SC",45,85,665.07
"Union, SC",45,87,514.17
"Williamsburg, SC",45,89,934.16
"York, SC",45,91,680.6
SOUTH DAKOTA,46,0,75811
"Aurora, SD",46,3,708.43
"Beadle, SD",46,5,1258.71
"Bennett, SD",46,7,1184.71
"Bon Homme, SD",46,9,563.7
"Brookings, SD",46,11,792.21
"Brown, SD",46,13,1712.98
"Brule, SD",46,15,817.24
"Buffalo, SD",46,17,471.38
"Butte, SD",46,19,2249.9
"Campbell, SD",46,21,733.68
"Charles Mix, SD",46,23,1097.49
"Clark, SD",46,25,957.6
"Clay, SD",46,27,412.19
"Codington, SD",46,29,688.5
"Corson, SD",46,31,2469.69
"Custer, SD",46,33,1557
"Davison, SD",46,35,435.56
"Day, SD",46,37,1027.87
"Deuel, SD",46,39,622.69
"Dewey, SD",46,41,2302.49
"Douglas, SD",46,43,431.8
"Edmunds, SD",46,45,1125.96
"Fall River, SD",46,47,1739.92
"Faulk, SD",46,49,981.75
"Grant, SD",46,51,681.46
"Gregory, SD",46,53,1014.96
"Haakon, SD",46,55,1810.53
"Hamlin, SD",46,57,507.23
"Hand, SD",46,59,1436.61
"Hanson, SD",46,61,434.51
"Harding, SD",46,63,2671.38
"Hughes, SD",46,65,741.56
"Hutchinson, SD",46,67,812.9
"Hyde, SD",46,69,860.52
"Jackson, SD",46,71,1863.91
"Jerauld, SD",46,73,526.23
"Jones, SD",46,75,969.68
"Kingsbury, SD",46,77,832.24
"Lake, SD",46,79,563.28
"Lawrence, SD",46,81,800.04
"Lincoln, SD",46,83,577.28
"Lyman, SD",46,85,1641.94
"McCook, SD",46,87,574.2
"McPherson, SD",46,89,1136.64
"Marshall, SD",46,91,838.07
"Meade, SD",46,93,3470.98
"Mellette, SD",46,95,1307.31
"Miner, SD",46,97,570.31
"Minnehaha, SD",46,99,807.15
"Moody, SD",46,101,519.39
"Pennington, SD",46,103,2776.55
"Perkins, SD",46,105,2870.48
"Potter, SD",46,107,861.14
"Roberts, SD",46,109,1101.04
"Sanborn, SD",46,111,569.32
"Shannon, SD",46,113,2093.9
"Spink, SD",46,115,1503.93
"Stanley, SD",46,117,1444.43
"Sully, SD",46,119,1006.82
"Todd, SD",46,121,1388.56
"Tripp, SD",46,123,1612.45
"Turner, SD",46,125,617.06
"Union, SD",46,127,460.54
"Walworth, SD",46,129,708.63
"Yankton, SD",46,135,521.16
"Ziebach, SD",46,137,1961.27
TENNESSEE,47,0,41234.9
"Anderson, TN",47,1,337.16
"Bedford, TN",47,3,473.64
"Benton, TN",47,5,394.14
"Bledsoe, TN",47,7,406.43
"Blount, TN",47,9,558.71
"Bradley, TN",47,11,328.76
"Campbell, TN",47,13,480.19
"Cannon, TN",47,15,265.64
"Carroll, TN",47,17,599.25
"Carter, TN",47,19,341.2
"Cheatham, TN",47,21,302.44
"Chester, TN",47,23,285.74
"Claiborne, TN",47,25,434.58
"Clay, TN",47,27,236.54
"Cocke, TN",47,29,434.57
"Coffee, TN",47,31,428.96
"Crockett, TN",47,33,265.54
"Cumberland, TN",47,35,681.03
"Davidson, TN",47,37,504.03
"Decatur, TN",47,39,333.85
"DeKalb, TN",47,41,304.35
"Dickson, TN",47,43,489.9
"Dyer, TN",47,45,512.33
"Fayette, TN",47,47,704.79
"Fentress, TN",47,49,498.61
"Franklin, TN",47,51,554.54
"Gibson, TN",47,53,602.74
"Giles, TN",47,55,610.93
"Grainger, TN",47,57,280.6
"Greene, TN",47,59,622.17
"Grundy, TN",47,61,360.53
"Hamblen, TN",47,63,161.18
"Hamilton, TN",47,65,542.43
"Hancock, TN",47,67,222.34
"Hardeman, TN",47,69,667.77
"Hardin, TN",47,71,577.32
"Hawkins, TN",47,73,486.98
"Haywood, TN",47,75,533.11
"Henderson, TN",47,77,520.07
"Henry, TN",47,79,562.1
"Hickman, TN",47,81,612.5
"Houston, TN",47,83,200.29
"Humphreys, TN",47,85,530.98
"Jackson, TN",47,87,308.32
"Jefferson, TN",47,89,274.08
"Johnson, TN",47,91,298.48
"Knox, TN",47,93,508.22
"Lake, TN",47,95,165.78
"Lauderdale, TN",47,97,471.99
"Lawrence, TN",47,99,617.13
"Lewis, TN",47,101,282.09
"Lincoln, TN",47,103,570.34
"Loudon, TN",47,105,229.22
"McMinn, TN",47,107,430.13
"McNairy, TN",47,109,562.86
"Macon, TN",47,111,307.14
"Madison, TN",47,113,557.12
"Marion, TN",47,115,498.16
"Marshall, TN",47,117,375.46
"Maury, TN",47,119,613.14
"Meigs, TN",47,121,195.12
"Monroe, TN",47,123,635.57
"Montgomery, TN",47,125,539.18
"Moore, TN",47,127,129.22
"Morgan, TN",47,129,522.18
"Obion, TN",47,131,544.73
"Overton, TN",47,133,433.48
"Perry, TN",47,135,414.73
"Pickett, TN",47,137,162.98
"Polk, TN",47,139,434.68
"Putnam, TN",47,141,401.1
"Rhea, TN",47,143,315.38
"Roane, TN",47,145,360.71
"Robertson, TN",47,147,476.29
"Rutherford, TN",47,149,619.36
"Scott, TN",47,151,532.3
"Sequatchie, TN",47,153,265.86
"Sevier, TN",47,155,592.5
"Shelby, TN",47,157,763.17
"Smith, TN",47,159,314.29
"Stewart, TN",47,161,459.33
"Sullivan, TN",47,163,413.36
"Sumner, TN",47,165,529.45
"Tipton, TN",47,167,458.37
"Trousdale, TN",47,169,114.19
"Unicoi, TN",47,171,186.17
"Union, TN",47,173,223.55
"Van Buren, TN",47,175,273.42
"Warren, TN",47,177,432.68
"Washington, TN",47,179,326.47
"Wayne, TN",47,181,734.1
"Weakley, TN",47,183,580.36
"White, TN",47,185,376.67
"Williamson, TN",47,187,582.6
"Wilson, TN",47,189,570.83
TEXAS,48,0,261231.71
"Anderson, TX",48,1,1062.6
"Andrews, TX",48,3,1500.71
"Angelina, TX",48,5,797.78
"Aransas, TX",48,7,252.07
"Archer, TX",48,9,903.11
"Armstrong, TX",48,11,909.11
"Atascosa, TX",48,13,1219.54
"Austin, TX",48,15,646.51
"Bailey, TX",48,17,826.8
"Bandera, TX",48,19,790.96
"Bastrop, TX",48,21,888.15
"Baylor, TX",48,23,867.48
"Bee, TX",48,25,880.24
"Bell, TX",48,27,1051.02
"Bexar, TX",48,29,1239.82
"Blanco, TX",48,31,709.25
"Borden, TX",48,33,897.44
"Bosque, TX",48,35,982.98
"Bowie, TX",48,37,885.01
"Brazoria, TX",48,39,1357.7
"Brazos, TX",48,41,585.45
"Brewster, TX",48,43,6183.73
"Briscoe, TX",48,45,900
"Brooks, TX",48,47,943.36
"Brown, TX",48,49,944.43
"Burleson, TX",48,51,659.03
"Burnet, TX",48,53,994.26
"Caldwell, TX",48,55,545.26
"Calhoun, TX",48,57,506.84
"Callahan, TX",48,59,899.37
"Cameron, TX",48,61,890.92
"Camp, TX",48,63,195.83
"Carson, TX",48,65,920.22
"Cass, TX",48,67,936.96
"Castro, TX",48,69,894.43
"Chambers, TX",48,71,597.14
"Cherokee, TX",48,73,1052.91
"Childress, TX",48,75,696.41
"Clay, TX",48,77,1088.72
"Cochran, TX",48,79,775.15
"Coke, TX",48,81,911.47
"Coleman, TX",48,83,1261.95
"Collin, TX",48,85,841.23
"Collingsworth, TX",48,87,918.44
"Colorado, TX",48,89,960.27
"Comal, TX",48,91,559.48
"Comanche, TX",48,93,937.75
"Concho, TX",48,95,983.8
"Cooke, TX",48,97,874.76
"Coryell, TX",48,99,1052.07
"Cottle, TX",48,101,900.56
"Crane, TX",48,103,785.07
"Crockett, TX",48,105,2807.33
"Crosby, TX",48,107,900.2
"Culberson, TX",48,109,3812.8
"Dallam, TX",48,111,1503.26
"Dallas, TX",48,113,871.28
"Dawson, TX",48,115,900.31
"Deaf Smith, TX",48,117,1496.87
"Delta, TX",48,119,256.83
"Denton, TX",48,121,878.43
"DeWitt, TX",48,123,908.98
"Dickens, TX",48,125,901.72
"Dimmit, TX",48,127,1328.88
"Donley, TX",48,129,926.89
"Duval, TX",48,131,1793.48
"Eastland, TX",48,133,926.49
"Ector, TX",48,135,897.69
"Edwards, TX",48,137,2117.86
"Ellis, TX",48,139,935.49
"El Paso, TX",48,141,1012.69
"Erath, TX",48,143,1083.07
"Falls, TX",48,145,765.48
"Fannin, TX",48,147,890.84
"Fayette, TX",48,149,950.01
"Fisher, TX",48,151,898.94
"Floyd, TX",48,153,992.14
"Foard, TX",48,155,704.4
"Fort Bend, TX",48,157,861.48
"Franklin, TX",48,159,284.39
"Freestone, TX",48,161,877.74
"Frio, TX",48,163,1133.5
"Gaines, TX",48,165,1502.38
"Galveston, TX",48,167,378.36
"Garza, TX",48,169,893.41
"Gillespie, TX",48,171,1058.21
"Glasscock, TX",48,173,900.22
"Goliad, TX",48,175,852.01
"Gonzales, TX",48,177,1066.69
"Gray, TX",48,179,925.97
"Grayson, TX",48,181,932.8
"Gregg, TX",48,183,273.3
"Grimes, TX",48,185,787.46
"Guadalupe, TX",48,187,711.3
"Hale, TX",48,189,1004.68
"Hall, TX",48,191,883.49
"Hamilton, TX",48,193,835.91
"Hansford, TX",48,195,919.81
"Hardeman, TX",48,197,695.11
"Hardin, TX",48,199,890.57
"Harris, TX",48,201,1703.48
"Harrison, TX",48,203,899.95
"Hartley, TX",48,205,1462.03
"Haskell, TX",48,207,903.13
"Hays, TX",48,209,677.98
"Hemphill, TX",48,211,906.29
"Henderson, TX",48,213,873.75
"Hidalgo, TX",48,215,1570.87
"Hill, TX",48,217,958.86
"Hockley, TX",48,219,908.39
"Hood, TX",48,221,420.64
"Hopkins, TX",48,223,767.17
"Houston, TX",48,225,1230.91
"Howard, TX",48,227,900.79
"Hudspeth, TX",48,229,4570.98
"Hunt, TX",48,231,840.32
"Hutchinson, TX",48,233,887.42
"Irion, TX",48,235,1051.56
"Jack, TX",48,237,910.66
"Jackson, TX",48,239,829.44
"Jasper, TX",48,241,938.85
"Jeff Davis, TX",48,243,2264.56
"Jefferson, TX",48,245,876.3
"Jim Hogg, TX",48,247,1136.14
"Jim Wells, TX",48,249,864.97
"Johnson, TX",48,251,724.69
"Jones, TX",48,253,928.55
"Karnes, TX",48,255,747.56
"Kaufman, TX",48,257,780.7
"Kendall, TX",48,259,662.45
"Kenedy, TX",48,261,1458.33
"Kent, TX",48,263,902.51
"Kerr, TX",48,265,1103.32
"Kimble, TX",48,267,1250.99
"King, TX",48,269,910.87
"Kinney, TX",48,271,1360.06
"Kleberg, TX",48,273,881.31
"Knox, TX",48,275,850.62
"Lamar, TX",48,277,907.19
"Lamb, TX",48,279,1016.18
"Lampasas, TX",48,281,712.84
"La Salle, TX",48,283,1486.69
"Lavaca, TX",48,285,969.71
"Lee, TX",48,287,629.02
"Leon, TX",48,289,1073.15
"Liberty, TX",48,291,1158.42
"Limestone, TX",48,293,905.29
"Lipscomb, TX",48,295,932.18
"Live Oak, TX",48,297,1039.7
"Llano, TX",48,299,934.03
"Loving, TX",48,301,668.93
"Lubbock, TX",48,303,895.6
"Lynn, TX",48,305,891.87
"McCulloch, TX",48,307,1065.6
"McLennan, TX",48,309,1037.1
"McMullen, TX",48,311,1139.43
"Madison, TX",48,313,466.07
"Marion, TX",48,315,380.88
"Martin, TX",48,317,914.94
"Mason, TX",48,319,928.8
"Matagorda, TX",48,321,1100.28
"Maverick, TX",48,323,1279.26
"Medina, TX",48,325,1325.36
"Menard, TX",48,327,902.03
"Midland, TX",48,329,900.3
"Milam, TX",48,331,1016.93
"Mills, TX",48,333,748.26
"Mitchell, TX",48,335,911.09
"Montague, TX",48,337,930.91
"Montgomery, TX",48,339,1041.74
"Moore, TX",48,341,899.69
"Morris, TX",48,343,251.99
"Motley, TX",48,345,989.56
"Nacogdoches, TX",48,347,946.54
"Navarro, TX",48,349,1009.63
"Newton, TX",48,351,933.68
"Nolan, TX",48,353,912
"Nueces, TX",48,355,838.48
"Ochiltree, TX",48,357,917.63
"Oldham, TX",48,359,1500.53
"Orange, TX",48,361,333.67
"Palo Pinto, TX",48,363,951.79
"Panola, TX",48,365,801.75
"Parker, TX",48,367,903.48
"Parmer, TX",48,369,880.78
"Pecos, TX",48,371,4763.85
"Polk, TX",48,373,1057.09
"Potter, TX",48,375,908.37
"Presidio, TX",48,377,3855.24
"Rains, TX",48,379,229.45
"Randall, TX",48,381,911.54
"Reagan, TX",48,383,1175.3
"Real, TX",48,385,699.2
"Red River, TX",48,387,1036.58
"Reeves, TX",48,389,2635.38
"Refugio, TX",48,391,770.44
"Roberts, TX",48,393,924.06
"Robertson, TX",48,395,855.68
"Rockwall, TX",48,397,127.04
"Runnels, TX",48,399,1050.95
"Rusk, TX",48,401,924.03
"Sabine, TX",48,403,491.39
"San Augustine, TX",48,405,530.66
"San Jacinto, TX",48,407,569.24
"San Patricio, TX",48,409,693.45
"San Saba, TX",48,411,1135.3
"Schleicher, TX",48,413,1310.63
"Scurry, TX",48,415,905.44
"Shackelford, TX",48,417,914.29
"Shelby, TX",48,419,795.58
"Sherman, TX",48,421,923.04
"Smith, TX",48,423,921.45
"Somervell, TX",48,425,186.46
"Starr, TX",48,427,1223.18
"Stephens, TX",48,429,896.72
"Sterling, TX",48,431,923.45
"Stonewall, TX",48,433,916.31
"Sutton, TX",48,435,1453.93
"Swisher, TX",48,437,890.16
"Tarrant, TX",48,439,863.61
"Taylor, TX",48,441,915.55
"Terrell, TX",48,443,2358.03
"Terry, TX",48,445,888.84
"Throckmorton, TX",48,447,912.55
"Titus, TX",48,449,406.05
"Tom Green, TX",48,451,1521.97
"Travis, TX",48,453,990.2
"Trinity, TX",48,455,693.61
"Tyler, TX",48,457,924.5
"Upshur, TX",48,459,582.95
"Upton, TX",48,461,1241.32
"Uvalde, TX",48,463,1551.95
"Val Verde, TX",48,465,3144.75
"Van Zandt, TX",48,467,842.56
"Victoria, TX",48,469,882.14
"Walker, TX",48,471,784.17
"Waller, TX",48,473,513.43
"Ward, TX",48,475,835.6
"Washington, TX",48,477,603.95
"Webb, TX",48,479,3361.48
"Wharton, TX",48,481,1086.15
"Wheeler, TX",48,483,914.52
"Wichita, TX",48,485,627.78
"Wilbarger, TX",48,487,970.84
"Willacy, TX",48,489,590.55
"Williamson, TX",48,491,1118.3
"Wilson, TX",48,493,803.73
"Winkler, TX",48,495,841.11
"Wise, TX",48,497,904.42
"Wood, TX",48,499,645.23
"Yoakum, TX",48,501,799.71
"Young, TX",48,503,914.47
"Zapata, TX",48,505,998.41
